cnid	path	type	creator	data_len	data_ab	rsrc_len	rsrc_ab	created	modified	data_lba	data_extents	rsrc_extents
2907	Clic!/img/clic297/297ut009.jpg	TEXT	LMAN	21845	49422	0	-1	1997-02-11 15:59:59	1997-02-10 12:08:00	247253.0000	49422+3	
2925	Clic!/img/clic297/clic197.gif	TEXT	LMAN	13064	49467	0	-1	1997-02-11 15:59:59	1997-02-10 12:08:00	247478.0000	49467+2	
2913	Clic!/img/clic297/clic297.gif	TEXT	LMAN	18862	49465	0	-1	1997-02-11 15:59:59	1997-02-13 20:36:42	247468.0000	49465+2	
2924	Clic!/img/clic297/WS_FTP.LOG	TEXT	LMAN	5720	49464	0	-1	1997-02-11 15:59:57	1997-02-10 12:08:00	247463.0000	49464+1	
2502	Clic!/img/clic197/197ca001.jpg	TEXT	LMAN	18477	49349	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:04	246888.0000	49349+2	
2947	Clic!/img/clic197/197co001.jpg	TEXT	LMAN	14595	49347	0	-1	1997-02-11 15:59:55	1997-02-10 12:07:04	246878.0000	49347+2	
2942	Clic!/img/clic197/197co002.jpg	TEXT	LMAN	16760	49359	0	-1	1997-02-11 15:59:55	1997-02-10 12:07:04	246938.0000	49359+2	
2952	Clic!/img/clic197/197ge001.jpg	TEXT	LMAN	20602	49356	0	-1	1997-02-11 15:59:55	1997-02-10 12:07:04	246923.0000	49356+3	
2939	Clic!/img/clic197/197gi001.jpg	TEXT	LMAN	14414	49354	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:06	246913.0000	49354+2	
2951	Clic!/img/clic197/197gi002.jpg	TEXT	LMAN	21237	49351	0	-1	1997-02-11 15:59:55	1997-02-10 12:07:06	246898.0000	49351+3	
2946	Clic!/img/clic197/197gi003.jpg	TEXT	LMAN	13433	49401	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:06	247148.0000	49401+2	
2938	Clic!/img/clic197/197gi004.jpg	TEXT	LMAN	15047	49399	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:06	247138.0000	49399+2	
2950	Clic!/img/clic197/197gi005.jpg	TEXT	LMAN	18071	49397	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:06	247128.0000	49397+2	
2945	Clic!/img/clic197/197gi006.jpg	TEXT	LMAN	14082	49395	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:06	247118.0000	49395+2	
2937	Clic!/img/clic197/197gi007.jpg	TEXT	LMAN	20869	49381	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:08	247048.0000	49381+3	
2949	Clic!/img/clic197/197gi008.jpg	TEXT	LMAN	12158	49379	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:08	247038.0000	49379+2	
2944	Clic!/img/clic197/197gi009.jpg	TEXT	LMAN	20951	49376	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:08	247023.0000	49376+3	
2940	Clic!/img/clic197/197gi010.jpg	TEXT	LMAN	15528	49374	0	-1	1997-02-11 15:59:56	1997-02-10 12:07:08	247013.0000	49374+2	
2936	Clic!/img/clic197/197mu001.jpg	TEXT	LMAN	18223	49345	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:08	246868.0000	49345+2	
2948	Clic!/img/clic197/197mu002.jpg	TEXT	LMAN	20731	49342	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:08	246853.0000	49342+3	
2943	Clic!/img/clic197/197mu003.jpg	TEXT	LMAN	19999	49393	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:10	247108.0000	49393+2	
